所属国,类型,名,谥号,别名,父亲,上一任,下一任,出生年,死亡年,登基年,退位年,备注
鲁,诸侯侯君,,隐公,,,,桓公,,-712,-722,-712,033-017。前712年十一月，公子挥使人杀隐公于蔿氏，立允为桓公
鲁,诸侯侯君,允,桓公,鲁桓公,,隐公,庄公,,-694,-711,-694,033-018。前694年被齐襄公杀于齐
鲁,诸侯侯君,,庄公,鲁庄公,桓公,桓公,闵公/公子般,,-662,-693,-662,033-019/020。在位32年，庆父之乱
鲁,诸侯侯君,,釐公,,庄公,闵公（被庆父杀）,,,,-660,,033-021。季友立釐公，诛庆父，前660年
鲁,诸侯侯君,兴,文公,,,,,,,-626,,014表格提取
鲁,诸侯侯君,俀,宣公,,,,,,,-608,,014表格提取
鲁,诸侯侯君,黑肱,成公,,,,,,,-590,,014表格提取
鲁,诸侯侯君,午,襄公,,,,,,,-572,,014表格提取
鲁,诸侯侯君,,昭公,鲁昭公,,,定公,,-510,-541,-510,033-024/025。前517年伐季氏败，奔齐，前510年卒于乾侯
鲁,诸侯侯君,,定公,鲁定公,,昭公,哀公,,,-509,,033-026/027。前500年夹谷之会，孔子行相事
鲁,诸侯侯君,,哀公,鲁哀公,,定公,,,,-494,,033-029。前479年孔子卒，前468年哀公欲以越伐三桓
鲁,诸侯侯君,,悼公,,,,,,,-466,,015表格提取
鲁,诸侯侯君,,元公,,,,,,,-428,,015表格提取
鲁,诸侯侯君,,穆公,,,,,,,-407,,015表格提取
鲁,诸侯侯君,,共公,,,,,,,-376,,015表格提取
鲁,诸侯侯君,,康公,,,,,,,-352,,015表格提取
鲁,诸侯侯君,偃,景公,,,,,,,-343,,015表格提取
鲁,诸侯侯君,,平公,,,,,,,-314,,015表格提取
鲁,诸侯侯君,,文公,,,,,,,-295,,015表格提取
鲁国,汉诸侯王,刘光,,,刘余（鲁共王）,鲁共王,,,,,,059五宗世家。鲁共王余子，立为鲁王。初好音舆马；晚节啬，惟恐不足于财。谥号史记未载。
鲁国,汉诸侯王,刘余,鲁共王,,景帝刘启,,（后嗣）,,-129,-153,,
齐,诸侯侯君,,哀公,,,,胡公,,-885,,-885,032-006。纪侯谮于周，周厉王烹哀公，立其弟静为胡公
齐,诸侯侯君,,庄公（前）,,,武公,厘公,,,,,武公子，在位数年。后传厘公，厘公传襄公
齐,诸侯侯君,,顷公,齐顷公,,,灵公,,,,,032-028。前589年鞍之战败于晋
齐,诸侯侯君,,庄公（后）,齐庄公,,灵公,景公,,-548,,-548,032-024。前548年崔杼弑庄公
齐,诸侯侯君,,康公,齐康公,,,,,-379,,-386,032-033/034。前386年田和代齐，前379年康公卒，姜氏吕氏绝祀
齐,诸侯侯君,吕尚,太公,太公望、师尚父,,,丁公吕伋,,,-1046,,032-003。武王封于齐营丘，周朝开国功臣
齐,诸侯侯君,静,胡公,,,哀公,献公,,,-885,-859,032-006/007。哀公弟，徙都薄姑
齐,诸侯侯君,山,献公,,,胡公,武公,,,-859,,032-008。哀公同母少弟，杀胡公自立，都临菑
齐,诸侯侯君,无忌,厉公,,,,,,,-824,,014表格提取
齐,诸侯侯君,赤,文公,,,,,,,-815,,014表格提取
齐,诸侯侯君,弗生,穆侯,,,,,,,-811,,014表格提取
齐,诸侯侯君,说,成公,,,,,,,-803,,014表格提取
齐,诸侯侯君,禄父,厘公,,,,,,,-730,,014表格提取
齐,诸侯侯君,,襄公,齐襄公,,厘公（前齐）,无知（短暂）,,-686,-697,-686,032-010/011。前694年杀鲁桓公，前686年冬被无知弑
齐,诸侯侯君,,桓公,小白、齐桓公,厘公,无知（短暂）,孝公,,-643,-685,-643,032-012。前685年入齐即位，任管仲，春秋五霸之首，前643年卒（032-021）
齐,诸侯侯君,,孝公,,桓公,桓公,昭公,,,-642,,032-023。宋立孝公，前642年
齐,诸侯侯君,潘,昭公,,,,,,,-632,,014表格提取
齐,诸侯侯君,商人,懿公,,,,,,,-612,,014表格提取
齐,诸侯侯君,元,惠公,,,,,,,-608,,014表格提取
齐,诸侯侯君,环,灵公,,,,,,,-581,,014表格提取
齐,诸侯侯君,,景公,齐景公,,庄公,晏孺子荼（短暂）,,-490,-548,-490,032-025/029/030。在位58年，前548-前490年
齐,诸侯侯君,,悼公,阳生,景公,晏孺子（废）,简公,,-485,-489,-485,032-031。田乞立阳生为悼公，前489年
齐,诸侯侯君,,简公,齐简公,,悼公,平公,,-481,-485,-481,032-032。前481年田常弑简公
齐,诸侯侯君,,平公,骜,,简公,,,,-481,,032-032。简公弟，田常立为平公
齐,诸侯侯君,就匝,宣公,,,,,,,-455,,015表格提取
齐,诸侯王,,威王,,,,,,,-378,,015表格提取
齐,诸侯王,辟彊,宣王,,,,,,,-342,,015表格提取
齐,诸侯王,地,湣王,,,,,,,-323,,015表格提取
齐,诸侯王,法章,襄王,,,,,,,-283,,015表格提取
齐,诸侯侯君,王建,,,,,,,,-264,,015表格提取
齐,诸侯王,田儋,王,,,,,,,-209,,016表格提取
齐,诸侯王,田荣,王,,,,,,,-206,,016表格提取
齐,诸侯王,田广,王,,,,,,,-205,,016表格提取
齐,诸侯王,韩信,王,,,,,,,-203,,016表格提取
齐国,汉诸侯王,刘肥,齐悼惠王,,高祖刘邦（母曹氏）,,齐哀王刘襄,,-189,-201,,
齐国,汉诸侯王,刘襄,齐哀王,,齐悼惠王刘肥,齐悼惠王刘肥,齐文王,,-179,-189,,
齐国,汉诸侯王,（名不详）,齐文王,,齐哀王刘襄,齐哀王刘襄,（文帝十六年分齐，立孝王将闾等）,,-165,-179,-164,
齐国,汉诸侯王,刘将闾,齐孝王,,齐悼惠王刘肥,（齐文王后分齐重封）,齐厉王刘次昌,,-154,-164,,
齐国,汉诸侯王,刘次昌,齐厉王,,齐孝王刘将闾,齐孝王刘将闾,,,-127,-154,-127,
齐国,汉诸侯王,刘寿,齐懿王,,刘将闾（齐孝王）,齐孝王,齐厉王,,-127,-154,-127,052齐悼惠王世家。孝王太子，七国之乱后孝王饮药自杀，立太子寿为齐王，是为懿王。立二十二年卒，子次景（厉王）立。
齐国,汉诸侯王,刘闳,（齐王，早卒无谥）,,武帝刘彻,,,,-113,-117,-113,
齐（田齐）,齐卿大夫,田孟夷,,田稺孟夷,陈完（田完）,陈完,田湣孟庄,,,,,046田敬仲完世家。陈完之子，生田湣孟庄。
齐（田齐）,齐卿大夫,田湣孟庄,,,田孟夷,田孟夷,田文子,,,,,046田敬仲完世家。田孟夷之子，生田文子须无。
齐（田齐）,齐卿大夫,田须无,,田文子,田湣孟庄,田湣孟庄,田桓子,,,,,046田敬仲完世家。田湣孟庄之子，事齐庄公为大夫。曾与晏婴谏庄公勿厚客晋叛臣栾逞，庄公弗听。
齐（田齐）,齐卿大夫,田无宇,,田桓子,田文子须无,田文子,田釐子,,,,,046田敬仲完世家。田文子之子，有力，事齐庄公甚有宠。生武子开与釐子乞。
齐（田齐）,齐卿大夫,田乞,,田釐子,田桓子无宇,田桓子,田成子,,-485,,-485,046田敬仲完世家。田桓子次子，事齐景公为大夫。以大斗出贷小斗收赋，行阴德收齐众心。驱逐高昭子、国惠子，迎立阳生（齐悼公），为相专政。约前485年卒，子田常代立。
齐（田齐）,齐卿大夫,田白,,田庄子,田襄子盘,田襄子,田太公,,,,,046田敬仲完世家。田襄子之子，相齐宣公。宣公四十三年伐晋、伐鲁。卒，子田和（太公）立。
齐（田齐）,齐卿大夫,陈完,敬仲,田完,陈厉公他,,田孟夷,,,-672,,046田敬仲完世家。陈国公子，陈宣公二十一年（前672年）奔齐，齐桓公使为工正，齐懿仲以女妻之。卒谥敬仲。以陈字为田氏，为田氏始祖。
齐（田齐）,齐卿大夫,田常,成子,田恒；田成子,田釐子乞,田釐子,田襄子,,-456,-485,-456,046田敬仲完世家。田釐子之子，前485年代父立，相齐简公。前481年弑简公，立平公，为相专政。诛鲍、晏及公族强者，自封安平以东至琅邪为邑。卒谥成子，有七十余男。约前456年卒。
齐（田齐）,齐卿大夫,田盘,,田襄子,田成子常,田成子,田庄子,,,-456,,046田敬仲完世家。田成子之子，代立相齐，相齐宣公。使其兄弟宗人尽为齐都邑大夫，与三晋通使。卒，子田白（庄子）立。
齐（田齐）,诸侯侯君,田和,太公,田太公,田庄子白,田庄子,田桓公,,-384,-386,-384,046田敬仲完世家。田庄子之子，相齐宣公，后迁齐康公于海上，专齐政。齐康公十九年（前386年）被周威烈王正式封为齐侯，田氏正式取代姜氏，纪元年。立二年（前384年）卒，子桓公午立。
齐（田齐）,诸侯侯君,田午,桓公,田桓公,田太公和,田太公,齐威王,,-357,-384,-357,046田敬仲完世家。田太公之子，前384年即位。在位六年时与韩、秦之争，谋阴告韩使者。立六年卒（前357年），子威王因齐立。是岁故齐康公卒，绝无后，奉邑皆入田氏。
齐（田齐）,诸侯王,田因齐,威王,齐威王,田桓公午,田桓公,齐宣王,,-320,-357,-320,046田敬仲完世家。田桓公之子，前357年即位。初不治，委政卿大夫九年。后励精图治，选贤任能，烹阿大夫，败魏于浊泽，围梁惠王。26年败魏于桂陵。自称为王。在位三十六年，前320年卒，子宣王辟彊立。
齐（田齐）,诸侯王,田辟彊,宣王,齐宣王,齐威王田因齐,齐威王,齐湣王,,-301,-320,-301,046田敬仲完世家。威王之子，前320年即位。前319年大败魏于马陵，杀庞涓，虏魏太子申。与魏襄王会徐州，诸侯相王。喜文学游说之士，稷下学宫复盛。在位十九年，前301年卒，子湣王地立。
齐（田齐）,诸侯王,田地,湣王,齐湣王；齐闵王,齐宣王田辟彊,齐宣王,齐襄王,,-284,-301,-284,046田敬仲完世家。宣王之子，前301年即位。前288年自称东帝（旋去帝号）。前286年灭宋，欲并周室称天子。四十年（前284年）燕秦楚三晋合攻，败于济西，燕将乐毅入临淄。湣王出亡，走莒，被楚将淖齿所杀。
齐（田齐）,诸侯王,田法章,襄王,齐襄王,齐湣王田地,齐湣王,齐王建,,-265,-284,-265,046田敬仲完世家。湣王之子，湣王遇杀后变名姓藏于太史敫家为庸，莒人共立之为襄王（前284年）。在莒五年，田单以即墨攻破燕军（前279年），迎襄王于莒，入临淄，齐故地尽复。娶太史敫女为君王后，生子建。在位十九年，前265年卒，子建立。
齐（田齐）,诸侯王,田建,,齐王建；君王建,齐襄王田法章,齐襄王,,,-221,-265,-221,046田敬仲完世家。襄王之子，前265年即位，君王后辅政。君王后贤，事秦谨，故建立四十余年不受兵。前221年秦兵击齐，听相后胜计不战，以兵降秦。秦虏王建，迁之共（松柏之地）。遂灭齐为郡，天下一并于秦。齐人怨建不与诸侯合从，歌之曰『松耶柏耶？住建共者客耶』。
